File_Name,Label,Stage
Tomato_Yellow_Leaf_Curl_Virus/image (4087).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (608).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (340).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (3358).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (208).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1115).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (1515).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (2010).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1177).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (754).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1579).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (69).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3059).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (611).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3791).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3463).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (651).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2051).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2546).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2519).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1580).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (1742).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3819).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1577).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (547).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3252).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2846).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (117).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3145).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3256).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (241).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (5132).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4333).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3062).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2707).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2549).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4274).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4399).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (5060).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4823).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4464).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4753).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3748).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2340).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2343).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (813).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (678).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1206).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4391).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4442).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (4250).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2461).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (5081).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1302).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1877).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4980).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3169).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1505).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (1789).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (2372).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4047).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1908).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (1135).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (2970).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (5029).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (4622).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3323).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (257).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4499).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4923).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (1676).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3292).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2728).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (621).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (5150).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (3016).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1301).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2222).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1015).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4757).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (5245).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1236).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (245).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3760).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (932).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2697).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1970).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (3694).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (673).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1590).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (4819).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (1915).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3209).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (378).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (118).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (54).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3133).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1708).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4227).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4962).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (139).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1425).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (909).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2539).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (558).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3045).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4458).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (137).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3233).JPG,Tomato_Yellow_Leaf_Curl_Virus,test
Tomato_Yellow_Leaf_Curl_Virus/image (402).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2700).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2577).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (389).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (3159).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3852).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4545).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (2082).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (998).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (5016).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1397).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1348).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (2689).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (4122).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (4695).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (5033).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
Tomato_Yellow_Leaf_Curl_Virus/image (1232).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (3954).JPG,Tomato_Yellow_Leaf_Curl_Virus,train
Tomato_Yellow_Leaf_Curl_Virus/image (1233).JPG,Tomato_Yellow_Leaf_Curl_Virus,valid
